2026-05-22 16:36:43 INFO  com.orangehrm.factory.DriverFactory - WebDriver is initialized
2026-05-22 16:36:43 INFO  com.orangehrm.factory.DriverFactory - WebDriver is initialized
2026-05-22 16:36:43 INFO  com.orangehrm.actiondriver.ActionDriver - ActionDriver is initalized
2026-05-22 16:36:43 INFO  com.orangehrm.factory.DriverFactory - WebDriver is initialized
2026-05-22 16:36:43 INFO  com.orangehrm.factory.DriverFactory - WebDriver is initialized
2026-05-22 16:36:44 INFO  com.orangehrm.factory.DriverFactory - WebDriver is initialized
2026-05-22 16:36:44 INFO  com.orangehrm.factory.DriverFactory - WebDriver is initialized
2026-05-22 16:36:44 INFO  com.orangehrm.actiondriver.ActionDriver - ActionDriver is initalized
2026-05-22 16:36:44 INFO  com.orangehrm.tesetcases.TC003validLoginRemoteTest - TC003validLoginRemoteTest is executed
2026-05-22 16:36:44 INFO  com.orangehrm.factory.DriverFactory - WebDriver is initialized
2026-05-22 16:36:44 INFO  com.orangehrm.factory.DriverFactory - WebDriver is initialized
2026-05-22 16:36:44 INFO  com.orangehrm.tesetcases.TC003validLoginRemoteTest - Admin & admin123
2026-05-22 16:36:44 INFO  com.orangehrm.actiondriver.ActionDriver - Color applied green to element [[ChromeDriver: chrome on windows (1543795291a82925e28831efc7d99cac)] -> name: username]
2026-05-22 16:36:44 INFO  com.orangehrm.actiondriver.ActionDriver - element located by : By.name: username is visible
2026-05-22 16:36:44 INFO  com.orangehrm.factory.DriverFactory - WebDriver is initialized
2026-05-22 16:36:44 INFO  com.orangehrm.actiondriver.ActionDriver - Color applied green to element [[ChromeDriver: chrome on windows (1905f7952a1c72d641cc0f3a87602c38)] -> name: username]
2026-05-22 16:36:44 INFO  com.orangehrm.actiondriver.ActionDriver - element located by : By.name: username is visible
2026-05-22 16:36:44 INFO  com.orangehrm.factory.DriverFactory - WebDriver is initialized
2026-05-22 16:36:44 INFO  com.orangehrm.actiondriver.ActionDriver - Color applied green to element [[ChromeDriver: chrome on windows (1543795291a82925e28831efc7d99cac)] -> name: username]
2026-05-22 16:36:45 INFO  com.orangehrm.actiondriver.ActionDriver - Color applied green to element [[ChromeDriver: chrome on windows (1905f7952a1c72d641cc0f3a87602c38)] -> name: username]
2026-05-22 16:36:45 INFO  com.orangehrm.actiondriver.ActionDriver - enter text : Admin in : By.name: username
2026-05-22 16:36:45 INFO  com.orangehrm.actiondriver.ActionDriver - enter text : Admin in : By.name: username
2026-05-22 16:36:45 INFO  com.orangehrm.actiondriver.ActionDriver - Color applied green to element [[ChromeDriver: chrome on windows (1905f7952a1c72d641cc0f3a87602c38)] -> name: password]
2026-05-22 16:36:45 INFO  com.orangehrm.actiondriver.ActionDriver - Color applied green to element [[ChromeDriver: chrome on windows (1543795291a82925e28831efc7d99cac)] -> name: password]
2026-05-22 16:36:45 INFO  com.orangehrm.actiondriver.ActionDriver - enter text : admin123 in : By.name: password
2026-05-22 16:36:45 INFO  com.orangehrm.actiondriver.ActionDriver - Color applied green to element [[ChromeDriver: chrome on windows (1905f7952a1c72d641cc0f3a87602c38)] -> xpath: //button[@type='submit']]
2026-05-22 16:36:45 INFO  com.orangehrm.actiondriver.ActionDriver - enter text : admin123 in : By.name: password
2026-05-22 16:36:45 INFO  com.orangehrm.actiondriver.ActionDriver - Color applied green to element [[ChromeDriver: chrome on windows (1543795291a82925e28831efc7d99cac)] -> xpath: //button[@type='submit']]
2026-05-22 16:36:46 INFO  com.orangehrm.actiondriver.ActionDriver - click on : By.xpath: //button[@type='submit']
2026-05-22 16:36:47 INFO  com.orangehrm.actiondriver.ActionDriver - click on : By.xpath: //button[@type='submit']
2026-05-22 16:38:29 ERROR com.orangehrm.actiondriver.ActionDriver - unable to located element :By.xpath: //div[@class="oxd-topbar-header-title"]/spanExpected condition failed: waiting for visibility of element found by By.xpath: //div[@class="oxd-topbar-header-title"]/span, but... org.openqa.selenium.NoSuchElementException: no such element: Unable to locate element: {"method":"xpath","selector":"//div[@class="oxd-topbar-header-title"]/span"}.
(tried for 60 seconds with 500 milliseconds interval)
Build info: version: '4.41.0', revision: '9fc754f'
System info: os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '21.0.4'
Driver info: org.openqa.selenium.chrome.ChromeDriver
